timestamp;nodeId;nodeX;nodeY;bssid;ssid;dbm;receivedAt
1583771287328;VielberthGebaeude.1.148;721.00;856.00;02:a0:57:35:2c:92;voip.uni-regensburg.de;-56;1583771287171
1583771287328;VielberthGebaeude.1.148;721.00;856.00;0a:a0:57:35:2c:92;wlansetup.uni-regensburg.de;-56;1583771287171
1583771287328;VielberthGebaeude.1.148;721.00;856.00;06:a0:57:35:2c:92;@BayernWLAN;-56;1583771287171
1583771287328;VielberthGebaeude.1.148;721.00;856.00;00:a0:57:35:2d:63;eduroam;-58;1583771287171
1583771287328;VielberthGebaeude.1.148;721.00;856.00;00:a0:57:35:2c:92;eduroam;-58;1583771287171
1583771287328;VielberthGebaeude.1.148;721.00;856.00;02:a0:57:35:2b:89;voip.uni-regensburg.de;-58;1583771287171
1583771287328;VielberthGebaeude.1.148;721.00;856.00;00:a0:57:35:2b:89;eduroam;-58;1583771287171
1583771287328;VielberthGebaeude.1.148;721.00;856.00;06:a0:57:35:2d:63;@BayernWLAN;-59;1583771287171
1583771287328;VielberthGebaeude.1.148;721.00;856.00;0a:a0:57:35:2b:89;wlansetup.uni-regensburg.de;-59;1583771287171
1583771287328;VielberthGebaeude.1.148;721.00;856.00;06:a0:57:35:2b:89;@BayernWLAN;-59;1583771287171
1583771287328;VielberthGebaeude.1.148;721.00;856.00;0a:a0:57:35:2d:63;wlansetup.uni-regensburg.de;-60;1583771287171
1583771287328;VielberthGebaeude.1.148;721.00;856.00;02:a0:57:35:2d:63;voip.uni-regensburg.de;-60;1583771287171
1583771287328;VielberthGebaeude.1.148;721.00;856.00;0a:a0:57:35:25:9f;wlansetup.uni-regensburg.de;-60;1583771287171
1583771287328;VielberthGebaeude.1.148;721.00;856.00;02:a0:57:35:25:9f;voip.uni-regensburg.de;-61;1583771287172
1583771287328;VielberthGebaeude.1.148;721.00;856.00;06:a0:57:35:25:9f;@BayernWLAN;-61;1583771287172
1583771287328;VielberthGebaeude.1.148;721.00;856.00;00:a0:57:35:25:9f;eduroam;-62;1583771287172
1583771287328;VielberthGebaeude.1.148;721.00;856.00;0a:a0:57:35:25:81;wlansetup.uni-regensburg.de;-63;1583771287172
1583771287328;VielberthGebaeude.1.148;721.00;856.00;06:a0:57:30:bf:72;@BayernWLAN;-64;1583771287172
1583771287328;VielberthGebaeude.1.148;721.00;856.00;00:a0:57:35:25:81;eduroam;-64;1583771287172
1583771287328;VielberthGebaeude.1.148;721.00;856.00;06:a0:57:35:25:81;@BayernWLAN;-64;1583771287172
1583771287328;VielberthGebaeude.1.148;721.00;856.00;02:a0:57:35:25:81;voip.uni-regensburg.de;-64;1583771287172
1583771287328;VielberthGebaeude.1.148;721.00;856.00;06:a0:57:35:53:0b;@BayernWLAN;-64;1583771287172
1583771287328;VielberthGebaeude.1.148;721.00;856.00;0a:a0:57:35:53:0b;5voip.uni-regensburg.de;-64;1583771287172
1583771287328;VielberthGebaeude.1.148;721.00;856.00;02:a0:57:35:53:0b;voip.uni-regensburg.de;-64;1583771287172
1583771287328;VielberthGebaeude.1.148;721.00;856.00;00:a0:57:35:53:0b;eduroam;-64;1583771287172
1583771287328;VielberthGebaeude.1.148;721.00;856.00;02:a0:57:35:27:b4;voip.uni-regensburg.de;-64;1583771287172
1583771287328;VielberthGebaeude.1.148;721.00;856.00;0a:a0:57:30:bf:72;wlansetup.uni-regensburg.de;-65;1583771287172
